title,description,score,references,category,url
Competitive Surf Technology,"Danilo Villanueva designs the Azazel watch for Makina Watches. Dubbed after a fallen angel, the Azazel is meant to evoke a sense of rebelliousness as it is designed in a way that rejects conventional watch notions. It boasts a defiant confidence as the Azazel has a minimal design that reinterprets crop circles.

The first feature that immediately grabs attention is actually what is not present. So the negative space stands out with two needle style hands and twelve minimal hour markers. There are no date windows or subdials. There is also no brand name that is defined across the witch's face. The diameter of the watch measures 38mm and it is 11.55mm in thickness. The Azazel has a contemporary look without dominating the smaller wrists.

Image Credit: Danilo Villanueva, Makina Watches",9.5,"Amy Duong — April 11, 2025 — Fashion
References: makinawatches",Fashion,https://www.trendhunter.com/trends/azazel
Burger Joint Breakfast Menus,"Konpak Tiny Homes has designed the Jordy Tiny Home, which is compact in structure, measuring about 24 feet with a length of 7.2 meters. Despite its small space, the team ensured that the layout optimized the interior plan with a smart and intentional design.

One of the most notable factors is the folding staircase and spacious living area with plenty of storage. The compact home is resting on top of a triple axle trailer with a finishing of galvanized steel and wood. The home is also enhanced with a wooden deck that helps expand the living area even more. Guests enter the home through the large bi-fold glass doors, bringing a calm connection to the outdoors.

Image Credit: Konpak Tiny Homes",10,"Amy Duong — April 11, 2025 — Art & Design
References: konpak.au",Art & Design,https://www.trendhunter.com/trends/jordy-tiny-home
All-in-One Portable Coffee Makers,"The Spout Water system is captivating attention as it presents a revolutionary approach to providing clean drinking water. It entirely transforms the way we think of water access as the sleek device essentially pulls water from the air around. The core technology by Spout involves the process of extracting moisture in the air and then it undergoes a purifying process of elevated filtration.

Unlike traditional water sources, Spout generates water right in the home's atmosphere. This generator is designed to be user-friendly and efficiently productive as it can create up to 2.5 gallons of filtered alkaline water at a daily rate. This is great for small offices or regular households -- any residence that is looking for off-grid water solutions.

Image Credit: Sprout",5.3,"Amy Duong — April 11, 2025 — Lifestyle
References: yankodesign",Lifestyle,https://www.trendhunter.com/trends/spout-water
Large-Scale Culinary Destinations,"Montreal-based brand JJJJound works in collaboration with OTW by Vans on a reworked iteration of the Half Cab sneaker model. It arrives in two colorway palettes including black with off-white and burgundy and off-white. The two models are set to launch on April 17th.

In terms of the design language, the lifestyle silhouette is rooted in skate aesthetics with a stripped-back design. Notably, it is also made from suede materials in the black and burgundy options -- both of which are contrasted by the off-white touches. This can be seen in the sole unit, nylon tongue, and laces. Each pair is comprised of the JJJJound wordmark at the right shoe's sock lining and co-branded tags throughout.

Image Credit: JJJJound",7.2,"Amy Duong — April 11, 2025 — Fashion
References: jjjjound",Fashion,https://www.trendhunter.com/trends/half-cab-sneaker
Large-Scale Culinary Destinations,"Architecture firm A01 Architects has completed the Priyam home, which is defined by its white sculptural silhouette. It is located in Hyderabad, India, and also has a landscaped garden which is designed by Kiasma Studio.

Owner of A01, Andreas Schimitzer explains to Dezeen, ""We had a very pragmatic approach to Indian architectural traditions. In some cases, we found the traditional Indian rules made for creating a space that enhances the wellbeing of the inhabitants; in other cases, we saw advantages in the Western approach."" The home's sleek form rises over a plinth which is clad in stone. This honors Indian architecture and craftsmanship with minimal interiors that were integrated in order to create a more European feel.

Image Credit: Vivek Eadara",4.2,"Amy Duong — April 11, 2025 — Art & Design
References: dezeen",Art & Design,https://www.trendhunter.com/trends/priyam-home
Swedish Mountain Timber Homes,"Designer duo Nicholas Gennari and Roberto Racy from Nar Design Studio work together to create the JZ apartment in Miami. Nestled in the busy Brickell financial district is the reimagined lower penthouse -- found on the 60th floor, it is defined by modern artistry and urban vibrant aesthetics.

The city has a dynamic character which served as the inspiration here, delivering a sense of minimalism with an artful approach. The design project was commissioned by a notable attorney who also has a deep appreciation for electronic music and modern pop art. The newly renovated space aimed to create a second home that aligns with the bright energy of Miami while maintaining a tranquil and minimalist atmosphere.

Image Credit: Nar Design Studio",4.7,"Amy Duong — April 11, 2025 — Art & Design
References: nardesignstudio & design-milk",Art & Design,https://www.trendhunter.com/trends/jz-apartment
Large-Scale Culinary Destinations,"LA Cool is a beautiful outdoor living space designed by Carter Williamson Architects. It is the latest update to the original vision of the Newport House, which was first constructed in 2015. Located above Newport Beach in Sydney, Australia, the LA Cool space is designed with inspiration from Californian modernism. The addition elevates the home as it perfectly blends indoor and outdoor luxury.

This creates an environment that is inviting throughout any season of the year. The home is designed with a deep understanding of the coastal landscape aligned with the understated elegance of California. LA Cool honors natural beauty while also bringing attention to functionality and comfort. The project specifically celebrates the mid-century designs that came from Palm Springs and Los Angeles in the 50s and 60s.

Image Credit: Carter Williamson Architects",4.4,"Amy Duong — April 11, 2025 — Art & Design
References: carterwilliamson",Art & Design,https://www.trendhunter.com/trends/la-cool
Large-Scale Culinary Destinations,"Spanish designer Jaime Hayon has created a new ceramics range dubbed the Danza collection for the Italian ceramics brand Bosa. The collaboration is defined by new patterns and bright hues, presented for Salone del Mobile 2025. Jaime Hayon speaks about the design, noting “With Danza, we wanted to capture the essence of a joyous masquerade ball. Each piece is a playful character, expressing its unique personality through color and form.”

It was important to create the characters from a whimsical angle, breaking down the structure in favor of personality and decoration. The Danza collection is comprised of the Joya table, the Fantasmiko, the Horamur, and the T-table. Throughout the ceramic vessels and accessories are details of Spanish and Indigenous emblems.

Image Credit: Jaime Hayon",8,"Amy Duong — April 11, 2025 — Art & Design
References: bosatrade",Art & Design,https://www.trendhunter.com/trends/danza-collection
Large-Scale Culinary Destinations,"Spanish designer Jaime Hayon has created a new ceramics range dubbed the Danza collection for the Italian ceramics brand Bosa. The collaboration is defined by new patterns and bright hues, presented for Salone del Mobile 2025. Jaime Hayon speaks about the design, noting “With Danza, we wanted to capture the essence of a joyous masquerade ball. Each piece is a playful character, expressing its unique personality through color and form.”

It was important to create the characters from a whimsical angle, breaking down the structure in favor of personality and decoration. The Danza collection is comprised of the Joya table, the Fantasmiko, the Horamur, and the T-table. Throughout the ceramic vessels and accessories are details of Spanish and Indigenous emblems.

Image Credit: Jaime Hayon",8,"Amy Duong — April 11, 2025 — Art & Design
References: bosatrade",Art & Design,https://www.trendhunter.com/trends/danza-collection
Wool Translucent Pendant Lamps,"Amsterdam-based design firm Piet Boon designs the LUNO lamp for Italian lighting brand FLOS Bespoke. Instead of following the same path as a traditional lamp, it has been entirely reimagined through an innovative two-part system. It redefines the interaction of how we see and experience light.

The design team created the LUNO lamp with inspiration drawn from architecture and movement. It is made to order as the two brands share a refined approach to 'form and function' as it is also rooted in a deep understanding of customization and craftsmanship. The team then created the LUNO lamp with a modern yet timeless feel. It has a suspended glass halo made from frosted glass, which emits a soft glow.

Image Credit: Piet Boon",8.9,"Amy Duong — April 11, 2025 — Lifestyle
References: pietboon",Lifestyle,https://www.trendhunter.com/trends/luno-lamp
Limited-Edition Tequila Releases,"Cadbury celebrates Easter with a large Creme Egg, measuring three feet in height and weighing about 45 kilograms. This is a super-size celebration of one of the most recognizable chocolate treats in Britain. The larger version also has a creamy filling inside.

This is a fondant filling, which is the same made in the original seasonal chocolate egg at a larger scale. It took over two and a half days to create the treat by hand by chocolatiers Terry Collins and Dawn Jenks. Although it looks like there is packaging and complete in the classic red, purple, and gold foil, the finish has actually been painted on by hand. This creation aligns with the company's annual Easter programming.

Image Credit: Cadbury World UK",5.5,"Amy Duong — April 11, 2025 — Lifestyle
References: tiktok",Lifestyle,https://www.trendhunter.com/trends/creme-egg-2
Serum Shampoo Releases,"Japan unveils a unique new construction project as the team at West Japan Railway Company, also known as JR West has built the Hatsushima Station. It is a fully functioning station that was built only in three hours located in Wakayama Prefecture. It was printed off-site using four prefabricated sections.

The new building replaces the wooden station that once stood for over 75 years. The team worked in collaboration with 3D-printing construction company Serendix to develop the project. It was also made using advanced additive manufacturing with reinforcement methods. The sections were made from reinforced mortar and then filled on the spot with rebar and concrete in order to meet the seismic safety standards in Japan.

Image Credit: JR West",7.8,"Amy Duong — April 11, 2025 — Art & Design
References: prtimes.jp",Art & Design,https://www.trendhunter.com/trends/hatsushima-station
Burger Joint Breakfast Menus,"Note Design Studio used a minimal palette of local materials when creating the Villa Ottsjö. It is a sleek home nestled in the mountainous village. This is the first full-scale architectural project for the Swedish design firm. The team took on the role of creating a home that naturally connects its clients with the outdoor environment, resulting in a row of structures similar to cabins in the sloped site.

The co-founder of Note Design Studio, Johannes Karlströmand, and interior architect Jesper Mellgren speak about the home, noting ""[It is] a house for an active and social life in the mountains. It is designed for that specific spot in that specific area. All these factors are used to inform the layout, material selection and the overall look of the house.""

Image Credit: Note Design Studio",6.9,"Amy Duong — April 11, 2025 — Art & Design
References: notedesignstudio.se",Art & Design,https://www.trendhunter.com/trends/villa-ottsj
All-in-One Portable Coffee Makers,"British designer Samuel Ross has just completed the Transposition Installation for The Balvenie, which is a whisky brand -- the two unveil the tranquil artwork during Milan Design Week. The installation is made up of three waterfalls made from copper-tonal scaffolding. These are nestled in what was once a foundry in the historic Isola district of the city. The three towers line up and progress in height.

Ross speaks more about the project, noting ""Really, what came to mind when it came to sketching and having conversations around the install was the focus on the founding well within Dufftown that helped establish The Balvenie. And the contrast of water being taken from quite an organic well and then running through a course of distillation, and the constant churning of water across that journey.""

Image Credit: Francesco Stelitano",6.4,"Amy Duong — April 11, 2025 — Art & Design
References: sr-a",Art & Design,https://www.trendhunter.com/trends/transposition-installtion
eSports-Grade Mobile Controllers,"Razer has officially launched its PC Remote Play service, a platform designed to stream PC games directly to mobile devices. This service supports both iOS and Android devices and is compatible with various controllers, including Razer's Kishi series. The platform allows users to access their entire PC game library, including titles from Steam, Epic Games Store, and PC Game Pass, without being restricted to fixed aspect ratios. By leveraging the AV1 video codec, the service enhances visual quality and reduces latency, ensuring a smooth gaming experience. Additionally, the system automatically optimizes resolution and refresh rates to match the capabilities of the connected mobile device.

The setup process for Razer PC Remote Play involves installing the Razer Nexus and PC Remote Play apps on the mobile device and enabling the service through the Razer Cortex software on the host PC. Users can then pair their devices using a Razer ID. The service also supports advanced features such as Sensa HD Haptics for immersive tactile feedback on compatible controllers. With its focus on portability and accessibility, Razer PC Remote Play aims to provide gamers with the flexibility to enjoy high-fidelity gaming experiences on the go. This launch follows a successful beta phase introduced at CES 2025, reflecting Razer's commitment to enhancing the gaming ecosystem.

Image Credit: Razer",8.6,"Colin Smith — April 11, 2025 — Tech
References: razer & engadget",Tech,https://www.trendhunter.com/trends/razer-pc-remote-play
Recovery-Oriented Sock Partnerships,"Recovery footwear is quickly becoming as essential to athletes as a reliable pair of running shoes, bridging the gap between performance and restoration.

Designed to reduce fatigue, support tired muscles, and promote overall foot health, these shoes are tailored for the moments after intense training or competition.

As athletes and everyone with a passion for movement prioritizes holistic wellness and injury prevention, recovery footwear is no longer an afterthought—it’s a vital part of living an active lifestyle. With advanced cushioning, ergonomic designs, and breathable materials, these shoes help optimize recovery, making them a must-have for anyone serious about performance and longevity in their sport. Alongside active recovery designs that resemble classic running shoes, like OOFOS' OOmy Zen, are slide-style silhouettes like the HOKA Ora Recovery Mule.",9.7,"Laura McQuarrie — April 11, 2025 — Fashion",Fashion,https://www.trendhunter.com/slideshow/recovery-footwear
Environmental Smart Packaging,"Products in AI-generated packaging are already hitting store shelves as brands invest in tools and technology to speed up the design process and stay ahead in a competitive market. Mattel’s Barbie Signature 2024 Holiday Doll, for example, features a box that began as an Adobe Firefly prompt. For designers, generative AI has the potential to speed up early iterations —that often require multiple rounds of feedback and review—and cut down the time it takes to go from idea to shelf.

Beyond efficiency, generative AI also has the potential to analyze consumer data to optimize designs for visual appeal, functionality, and emotional resonance with target audiences. This means packaging isn’t just faster to produce—it’s smarter, more personalized, and strategically crafted to stand out and drive engagement in a crowded retail landscape.",9.7,"Laura McQuarrie — April 11, 2025 — Tech",Tech,https://www.trendhunter.com/slideshow/ai-generated-packaging
Southern Cuisine Side Dishes,"Sauces are taking center stage in the latest dippable QSR bites as consumers look for easy, flavorful ways to elevate their go-to menu staples. From spicy, tangy, and sweet to globally inspired blends, bold sauces are becoming the star of the meal rather than just a side.

Today’s diners crave variety and customization, and sauces offer a simple yet exciting way to shake up familiar items like nuggets, fries, and sandwiches without straying too far from what they love. This shift reflects a growing demand for dynamic flavor experiences that are both approachable and crave-worthy.

Consumers’ passion for dipping and dunking prompted the creation of sauce-focused concept restaurants—like Saucy by KFC and Bar Tender by Wingstop—that put bold, flavorful condiments at the center of the dining experience.",7.2,"Laura McQuarrie — April 11, 2025 — Lifestyle",Lifestyle,https://www.trendhunter.com/slideshow/dippable-qsr
